learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
500.0,0.011335,2.033893639842669E-11,500.0,82.6,65.07146298378031,66.79389312977099,500.0,6936.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1000.0,0.020364,3.693252181013425E-11,1000.0,85.7,71.33740088352963,72.55278310940498,1000.0,7104.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1500.0,0.027949,5.120196690162023E-11,1500.0,86.9,73.73928522744585,74.85604606525912,1500.0,7272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.035208,6.485811745127043E-11,2000.0,86.5,72.99243788260713,73.73540856031127,2000.0,7272.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2500.0,0.04742,1.0304716933104728E-10,2500.0,89.60000000000001,79.19334186939821,79.92277992277992,2500.0,12088.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3000.0,0.054745,1.3116871317227683E-10,3000.0,85.8,71.59761419959277,73.30827067669172,3000.0,14840.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
3500.0,0.063202,1.6473880658547085E-10,3500.0,83.39999999999999,66.77860542189168,67.45098039215685,3500.0,15344.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4000.0,0.071776,1.9989125430583954E-10,4000.0,87.4,74.79596735477678,75.04950495049505,4000.0,15848.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
4500.0,0.081802,2.571401372551918E-10,4500.0,87.9,75.76374255886806,76.50485436893204,4500.0,22072.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5000.0,0.090082,3.076580539345741E-10,5000.0,84.2,68.36963484945548,69.140625,5000.0,23584.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
5500.0,0.100013,3.855343349277973E-10,5500.0,82.6,65.19999999999999,65.9491193737769,5500.0,30312.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6000.0,0.108214,4.5269584904114404E-10,6000.0,85.7,71.37664334096623,71.05263157894737,6000.0,31656.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
6500.0,0.117015,5.255360342562198E-10,6500.0,87.6,75.16065447669108,75.44554455445545,6500.0,31992.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7000.0,0.125824,6.003567017614841E-10,7000.0,87.6,75.20158709842569,75.49407114624506,7000.0,32832.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
7500.0,0.135629,6.840631986657777E-10,7500.0,88.5,76.94004411469821,76.95390781563127,7500.0,33000.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8000.0,0.144222,7.581696348885694E-10,8000.0,88.7,77.37411598869106,77.079107505071,8000.0,33336.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
8500.0,0.153135,8.358105147878328E-10,8500.0,89.9,79.79434241587646,78.73684210526316,8500.0,33672.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.163912,9.475096522106063E-10,9000.0,88.9,77.79573678146204,78.23529411764706,9000.0,40064.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
9500.0,0.174693,1.0791083011362286E-9,9500.0,84.7,69.37451960030745,68.9655172413793,9500.0,47184.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
10000.0,0.185332,1.210823179119163E-9,10000.0,87.3,74.56887229969483,73.31932773109243,10000.0,47856.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
10500.0,0.195662,1.3400593979491126E-9,10500.0,90.4,80.7797033667553,80.990099009901,10500.0,48360.0,9.0,5.0,5.0,3.0,0.0,0.0,1.0
11000.0,0.207339,1.434164862665865E-9,11000.0,89.5,78.98486910575615,78.95791583166333,11000.0,31152.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0
11500.0,0.215827,1.505152355465624E-9,11500.0,91.3,82.56554952586312,82.38866396761134,11500.0,32328.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0
12000.0,0.223847,1.5732715237471793E-9,12000.0,91.4,82.79001821056214,82.41308793456034,12000.0,32832.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0
12500.0,0.232202,1.644962314102385E-9,12500.0,89.5,79.01846375189834,78.48360655737704,12500.0,33168.0,6.0,1.0,1.0,3.0,0.0,0.0,1.0
13000.0,0.241415,1.7392500013940865E-9,13000.0,87.5,74.99779980638296,75.39370078740157,13000.0,39560.0,8.0,2.0,2.0,3.0,0.0,0.0,1.0
