learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
1000.0,0.134882,1.9568594379557504E-10,1000.0,85.39999999999999,70.77603634980683,69.77225672877846,69.06779661016948,1000.0,5608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
2000.0,0.187745,2.723792464368873E-10,2000.0,91.8,83.58627812851545,83.79446640316206,82.95218295218297,2000.0,5608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
3000.0,0.221525,3.2138705460561644E-10,3000.0,89.7,79.40444863909396,79.10750507099392,78.89344262295083,3000.0,5608.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
4000.0,0.28079,4.931043109132184E-10,4000.0,86.1,72.2026685438198,71.2215320910973,72.2,4000.0,11200.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
5000.0,0.310817,5.801059823069308E-10,5000.0,85.39999999999999,70.79813108038914,69.89690721649484,70.32520325203252,5000.0,11200.0,3.0,2.0,2.0,1.0,0.0,0.0,1.0
6000.0,0.356771,7.797348644170496E-10,6000.0,86.3,72.5991231719415,72.87128712871286,71.92622950819671,6000.0,16792.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
7000.0,0.403192,9.81392442352242E-10,7000.0,86.8,73.61509216728031,73.00613496932516,72.44258872651356,7000.0,16792.0,5.0,3.0,3.0,2.0,0.0,0.0,1.0
8000.0,0.440134,1.195314580367671E-9,8000.0,89.2,78.36469117599924,78.52882703777337,78.82352941176471,8000.0,22384.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
9000.0,0.46274,1.3262204287780655E-9,9000.0,87.7,75.35208445217503,75.0,73.99577167019027,9000.0,22384.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
10000.0,0.482977,1.4434079743093913E-9,10000.0,88.2,76.37420062708478,76.16161616161617,75.05285412262155,10000.0,22384.0,7.0,4.0,4.0,2.0,0.0,0.0,1.0
11000.0,0.5224,1.5006026108231808E-9,11000.0,76.0,51.96156925540433,53.125,50.0,120.0,5608.0,1.0,1.0,1.0,0.0,5064.0,0.0,1.028436018957346
