learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
100.0,0.041456,8.586621284484863E-10,100.0,77.0,52.24252491694353,51.06382978723404,48.888888888888886,100.0,80064.0
200.0,0.066996,1.389882316191991E-9,200.0,81.5,62.829013461924845,61.052631578947356,61.85567010309278,200.0,80400.0
300.0,0.078875,1.63696002215147E-9,300.0,80.66666666666666,61.257570359814736,59.44055944055944,59.999999999999986,300.0,80400.0
400.0,0.092825,1.9283261522650717E-9,400.0,82.25,64.46268582011112,62.63157894736842,63.020833333333336,400.0,80736.0
500.0,0.103104,2.143018084267775E-9,500.0,82.19999999999999,64.34523427985384,63.070539419087126,63.070539419087126,500.0,80736.0
600.0,0.114014,2.3708893731236455E-9,600.0,83.66666666666667,67.35654645585362,66.77966101694915,66.32302405498281,600.0,80736.0
700.0,0.121697,2.532027885317802E-9,700.0,83.71428571428572,67.42857142857144,66.17210682492582,66.07142857142858,700.0,81072.0
800.0,0.130444,2.715482078492641E-9,800.0,84.625,69.23038437003588,68.13471502590673,67.11229946524064,800.0,81072.0
900.0,0.138237,2.8789276629686354E-9,900.0,84.88888888888889,69.75387960857961,68.8787185354691,67.84869976359339,900.0,81072.0
1000.0,0.146104,3.043925277888775E-9,1000.0,85.39999999999999,70.77603634980683,69.77225672877846,69.06779661016948,1000.0,81072.0
1100.0,0.151244,3.1517284736037255E-9,1100.0,86.9,73.7723035525515,73.04526748971193,71.94860813704497,1100.0,81072.0
1200.0,0.156917,3.2707104831933976E-9,1200.0,87.5,74.94487873321307,74.22680412371135,72.58771929824562,1200.0,81072.0
1300.0,0.163289,3.404906764626503E-9,1300.0,89.3,78.56089507261245,77.75467775467776,76.78958785249458,1300.0,81408.0
1400.0,0.168683,3.5185060650110245E-9,1400.0,89.60000000000001,79.15622807896582,78.94736842105263,77.4891774891775,1400.0,81408.0
1500.0,0.173488,3.6197008440891904E-9,1500.0,90.8,81.58784797966658,81.45161290322581,80.34188034188034,1500.0,81408.0
1600.0,0.179345,3.743051066994667E-9,1600.0,90.60000000000001,81.16081449414783,80.93306288032454,79.65367965367966,1600.0,81408.0
1700.0,0.183437,3.829229846596718E-9,1700.0,91.3,82.57616419261551,82.56513026052104,81.5677966101695,1700.0,81408.0
1800.0,0.187552,3.9158930132786435E-9,1800.0,91.3,82.58327994875081,82.63473053892216,82.0618556701031,1800.0,81408.0
1900.0,0.191608,4.001313621799151E-9,1900.0,91.60000000000001,83.1874241932966,83.16633266533067,82.60869565217392,1900.0,81408.0
2000.0,0.196507,4.104488069812456E-9,2000.0,91.8,83.58627812851545,83.79446640316206,82.95218295218297,2000.0,81408.0
2100.0,0.200531,4.189234748482703E-9,2100.0,90.60000000000001,81.20120312300013,81.64062500000001,81.12449799196789,2100.0,81408.0
2200.0,0.204942,4.282131766279538E-9,2200.0,89.9,79.8058159250136,80.2348336594912,80.2734375,2200.0,81408.0
2300.0,0.209046,4.368563269575437E-9,2300.0,89.60000000000001,79.20823353951836,79.96146435452795,79.11646586345383,2300.0,81408.0
2400.0,0.213425,4.460786357522011E-9,2400.0,90.10000000000001,80.20475085979365,80.51181102362204,80.12048192771086,2400.0,81408.0
2500.0,0.216892,4.533802444736163E-9,2500.0,89.5,79.00151189114383,79.24901185770752,78.35051546391753,2500.0,81408.0
2600.0,0.221165,4.62416456391414E-9,2600.0,89.60000000000001,79.18134648645186,79.6875,78.64476386036962,2600.0,81744.0
2700.0,0.225784,4.721843625108401E-9,2700.0,89.5,78.99344595513801,79.37131630648331,78.07933194154488,2700.0,81744.0
2800.0,0.229337,4.796979737778504E-9,2800.0,89.7,79.38268145242003,79.48207171314742,78.22410147991543,2800.0,81744.0
2900.0,0.23273,4.868732293446858E-9,2900.0,90.2,80.39121526443847,80.16194331983806,79.62577962577963,2900.0,81744.0
3000.0,0.236152,4.941098118821779E-9,3000.0,89.7,79.40444863909396,79.10750507099392,78.89344262295083,3000.0,81744.0
3100.0,0.239498,5.0118567546208694E-9,3100.0,91.10000000000001,82.20156626216894,81.9838056680162,81.6115702479339,3100.0,81744.0
3200.0,0.242863,5.083017187813917E-9,3200.0,91.7,83.38245186917386,83.06122448979593,82.37791932059449,3200.0,81744.0
3300.0,0.24611,5.151682247718174E-9,3300.0,91.4,82.78485066858836,82.26804123711341,82.00836820083683,3300.0,81744.0
3400.0,0.251041,5.249489131900999E-9,3400.0,90.4,80.79385403329066,80.20618556701031,80.0,3400.0,76672.0
3500.0,0.266611,5.601372602913114E-9,3500.0,89.2,78.40285082369127,78.0040733197556,78.26961770623743,3500.0,87360.0
